94.63
90.7,94.91
76.54,88.59,94.89
73.39,80.17,91.78,94.99
58.23,70.03,88.5,88.78,95.09
30.55,60.67,74.64,80.58,84.46,95.03
33.95,55.13,57.58,71.55,75.07,87.8,95.07
30.65,50.31,56.91,64.08,71.27,81.86,91.72,95.55
30.71,49.06,48.41,52.08,50.47,74.49,87.54,91.14,95.14
29.02,45.6,44.86,49.08,44.04,66.87,81.95,83.65,90.88,95.29
