97.45
89.46, 97.57
68.51, 89.79, 97.55
48.3, 65.97, 88.48, 97.37
33.29, 52.18, 87.02, 91.26, 97.51
20.47, 37.97, 59.02, 81.36, 82.73, 97.06
19.01, 29.1, 49.5, 63.71, 71.6, 89.59, 97.48
22.49, 21.25, 36.75, 48.62, 46.24, 72.16, 91.17, 97.2
15.58, 18.98, 29.18, 41.33, 37.26, 43.62, 85.8, 93.16, 97.46
13.83, 22.73, 29.84, 32.34, 29.33, 28.83, 62.26, 80.93, 92.68, 97.06
